,Name,Negative Probability,Positive Probability,Results,scenario
0,Biden,0.4120678940523091,0.5746002839005164,pos,post_debate
1,Klobuchar,0.1987101991711198,0.7964438117177448,pos,post_debate
2,Buttigieg,0.3399061521086152,0.6288986020421367,pos,post_debate
3,Bloomberg,0.5203088078614674,0.43153791078299253,neg,post_debate
4,Sanders,0.1793161653265118,0.7905895824676266,pos,post_debate
5,Warren,0.2419582460355666,0.7330146950207835,pos,post_debate
