,Name,Negative Probability,Positive Probability,Results
0,Biden,0.5039237683866828,0.47207234155466593,neg
1,Klobuchar,0.35476889886497753,0.6129692758072477,pos
2,Buttigieg,0.4509046054088905,0.45104193529319997,pos
3,Bloomberg,0.4482003210544144,0.4943200916468641,pos
4,Sanders,0.14519027434625417,0.7427706992247304,pos
5,Warren,0.30226116868615727,0.6279643944170857,pos
